t,Re_avg_C_LR,Im_avg_C_LR,Re_avg_C_LT,Im_avg_C_LT,Re_avg_C_LL,Im_avg_C_LL
1.3600000000000000e+02,-1.2849110670249592e-39,-7.1153649522762353e-40,9.3165234020118425e-80,8.5168955149880098e-81,-6.1258334644394234e-03,-2.9896669344047867e-02
1.3700000000000000e+02,-6.0127254942600668e-39,-3.3686057239484011e-39,3.5509879293680804e-79,1.8910859972181989e-79,2.4198467256317451e-02,-2.1099648441523372e-02
1.3800000000000000e+02,-2.7633949001414960e-38,-1.5663324188747905e-38,6.6559502829448173e-79,6.4553661223899200e-79,2.9421124557266181e-02,4.4879194678687289e-03
1.3900000000000000e+02,-1.2475714355339996e-37,-7.1544615257682132e-38,1.9746888739524797e-80,1.0845732421024153e-78,6.1560043724718759e-03,2.1343432980321642e-02
1.4000000000000000e+02,-5.5336852244329269e-37,-3.2107447460639237e-37,-4.3538974823984833e-78,-3.8280447233598045e-79,-2.1989155916466645e-02,1.3703277683577736e-02
1.4100000000000000e+02,-2.4119249175605155e-36,-1.4159407003967845e-36,-1.5668049194444790e-77,-8.5317024846601209e-78,-2.7586226632152728e-02,-1.0003279249314269e-02
1.4200000000000000e+02,-1.0332021494565746e-35,-6.1371621138221530e-36,-2.7538474753194424e-77,-2.8008195214521597e-77,-4.5149629062978805e-03,-2.5509844439880296e-02
1.4300000000000000e+02,-4.3505990629642925e-35,-2.6148353637642393e-35,1.7254593223717507e-78,-4.5021535582969253e-77,2.6261140320454755e-02,-1.5500925033614167e-02
1.4400000000000000e+02,-1.8010399817296428e-34,-1.0953288998059759e-34,1.7479455552397772e-76,1.6204575614483623e-77,3.4911661706477554e-02,1.3388801550738960e-02
1.4500000000000000e+02,-7.3311943748427958e-34,-4.5116529580608141e-34,5.9024733398127438e-76,3.3057168893166531e-76,1.0422835959981527e-02,3.5058284577628558e-02
1.4600000000000000e+02,-2.9347294733392512e-33,-1.8276102897015061e-33,9.8535944054083116e-76,1.0436137903988890e-75,-2.6688377843560970e-02,2.7633452938125719e-02
1.4700000000000000e+02,-1.1554910804494888e-32,-7.2820300701089389e-33,-5.6626674688940995e-77,1.6421172378609695e-75,-4.1343129473748685e-02,-4.4760372350203881e-03
1.4800000000000000e+02,-4.4754006979148245e-32,-2.8543347871715849e-32,-5.7300527344763876e-75,-3.8594102474109334e-76,-1.7962028245232364e-02,-3.2585506673411334e-02
1.4900000000000000e+02,-1.7053915643089446e-31,-1.1007836626233440e-31,-1.8887834892691986e-74,-1.0525906834546664e-74,2.1834238714703975e-02,-3.0653493101280703e-02
1.5000000000000000e+02,-6.3944276347130463e-31,-4.1773724923249859e-31,-3.2271019624387991e-74,-3.3454952323467375e-74,3.9077763766027833e-02,-1.5221185230261281e-03
