t,I,e_in,e_out
5.6112224448897787e+03,1.4148785094278221e-02,1.3317960110099711e-01,1.1903081600671889e-01
5.6432865731462916e+03,1.5242689136300919e-02,1.3354323403804305e-01,1.1830054490174213e-01
5.6753507014028046e+03,1.4989597293849605e-02,1.3345910185964568e-01,1.1846950456579608e-01
5.7074148296593185e+03,1.4377470371049667e-02,1.3325562010783579e-01,1.1887814973678612e-01
5.7394789579158314e+03,1.4595747846897489e-02,1.3332817937865324e-01,1.1873243153175575e-01
5.7715430861723444e+03,1.7189931979371645e-02,1.3419053179631629e-01,1.1700059981694465e-01
5.8036072144288573e+03,1.4695920450281855e-02,1.3336147851329463e-01,1.1866555806301278e-01
5.8356713426853703e+03,1.5165474378059235e-02,1.3351756649478097e-01,1.1835209211672174e-01
5.8677354709418832e+03,1.5041858131910862e-02,1.3347647428108875e-01,1.1843461614917788e-01
5.8997995991983962e+03,1.5577558545681741e-02,1.3365455051753447e-01,1.1807699197185273e-01
5.9318637274549092e+03,1.4797596067197952e-02,1.3339527727606043e-01,1.1859768120886248e-01
5.9639278557114221e+03,1.7220098789523741e-02,1.3420055977441589e-01,1.1698046098489215e-01
5.9959919839679351e+03,1.4900070018232847e-02,1.3342934141912405e-01,1.1852927140089120e-01
6.0280561122244480e+03,1.4138657202620544e-02,1.3317623441173640e-01,1.1903757720911586e-01
6.0601202404809610e+03,1.6020671176175547e-02,1.3380184894690159e-01,1.1778117777072604e-01
6.0921843687374740e+03,1.6047004085957675e-02,1.3381060246910931e-01,1.1776359838315163e-01
6.1242484969939869e+03,1.5218334796658947e-02,1.3353513822733687e-01,1.1831680343067792e-01
6.1563126252505008e+03,1.8690537090495715e-02,1.3468935931951881e-01,1.1599882222902309e-01
6.1883767535070137e+03,1.4456551561578115e-02,1.3328190808600490e-01,1.1882535652442679e-01
6.2204408817635267e+03,1.3844934351065305e-02,1.3307859577152115e-01,1.1923366142045584e-01
6.2525050100200397e+03,1.5505514657541547e-02,1.3363060186241019e-01,1.1812508720486864e-01
6.2845691382765526e+03,1.5096001423701308e-02,1.3349447246324897e-01,1.1839847103954766e-01
6.3166332665330656e+03,1.5045245822253431e-02,1.3347760040892143e-01,1.1843235458666800e-01
6.3486973947895785e+03,1.8127243489209535e-02,1.3450211062238754e-01,1.1637486713317800e-01
6.3807615230460915e+03,1.3878237355096273e-02,1.3308966627560803e-01,1.1921142892051176e-01
6.4128256513026045e+03,1.4143412647316958e-02,1.3317781520516483e-01,1.1903440255784788e-01
6.4448897795591174e+03,1.6424213681016750e-02,1.3393599357076277e-01,1.1751177988974602e-01
6.4769539078156304e+03,1.1956894162276424e-02,1.3245097801645619e-01,1.2049408385417977e-01
6.5090180360721433e+03,1.4678560194539933e-02,1.3335570765904919e-01,1.1867714746450926e-01
6.5410821643286563e+03,1.8721823438748286e-02,1.3469975945176674e-01,1.1597793601301845e-01
6.5731462925851692e+03,1.4966977674296778e-02,1.3345158270039681e-01,1.1848460502610003e-01
6.6052104208416822e+03,1.3556942257569496e-02,1.3298286213604510e-01,1.1942591987847560e-01
6.6372745490981961e+03,1.5888202989209371e-02,1.3375781419244179e-01,1.1786961120323242e-01
6.6693386773547090e+03,1.3904538782823203e-02,1.3309840933262654e-01,1.1919387054980334e-01
6.7014028056112220e+03,1.5016823299731877e-02,1.3346815226269779e-01,1.1845132896296591e-01
6.7334669338677350e+03,1.6555792258610910e-02,1.3397973260342397e-01,1.1742394034481306e-01
6.7655310621242479e+03,1.5733039577958935e-02,1.3370623514639399e-01,1.1797319556843505e-01
6.7975951903807609e+03,1.2013241103463135e-02,1.3246970873042141e-01,1.2045646762695827e-01
6.8296593186372738e+03,1.7242019792065286e-02,1.3420784670108307e-01,1.1696582690901779e-01
6.8617234468937868e+03,1.5449204002076972e-02,1.3361188321045497e-01,1.1816267920837800e-01
6.8937875751502997e+03,1.6783761886705328e-02,1.3405551371605939e-01,1.1727175182935407e-01
6.9258517034068127e+03,1.6447954425874878e-02,1.3394388541177227e-01,1.1749593098589739e-01
6.9579158316633257e+03,1.5783267184462713e-02,1.3372293168591817e-01,1.1793966450145546e-01
6.9899799599198386e+03,1.4163062740462390e-02,1.3318434724162129e-01,1.1902128450115890e-01
7.0220440881763516e+03,1.5640777835687791e-02,1.3367556572107803e-01,1.1803478788539024e-01
7.0541082164328645e+03,1.4468687840546945e-02,1.3328594239851740e-01,1.1881725455797046e-01
7.0861723446893784e+03,1.4188038520251411e-02,1.3319264962995753e-01,1.1900461110970612e-01
7.1182364729458914e+03,1.4792655445983308e-02,1.3339363492669806e-01,1.1860097948071475e-01
7.1503006012024043e+03,1.5825429946130690e-02,1.3373694732921945e-01,1.1791151738308876e-01
7.1823647294589173e+03,1.3125051217532616e-02,1.3283929396064695e-01,1.1971424274311433e-01
7.2144288577154302e+03,1.6465007959093683e-02,1.3394955430605590e-01,1.1748454634696222e-01
7.2464929859719432e+03,1.4426182575850585e-02,1.3327181290118659e-01,1.1884563032533600e-01
7.2785571142284562e+03,1.5588573261695104e-02,1.3365821200279968e-01,1.1806963874110457e-01
7.3106212424849691e+03,1.5988000876540329e-02,1.3379098876487727e-01,1.1780298788833694e-01
7.3426853707414821e+03,1.6002668759381958e-02,1.3379586462703061e-01,1.1779319586764865e-01
7.3747494989979950e+03,1.3801880418533766e-02,1.3306428388735297e-01,1.1926240346881921e-01
7.4068136272545080e+03,1.5601139688015797e-02,1.3366238930385657e-01,1.1806124961584077e-01
7.4388777555110210e+03,1.6374647278293394e-02,1.3391951682699818e-01,1.1754486954870479e-01
7.4709418837675339e+03,1.5760925577942134e-02,1.3371550494309017e-01,1.1795457936514804e-01
7.5030060120240469e+03,1.5899035491073077e-02,1.3376141510652098e-01,1.1786237961544790e-01
7.5350701402805607e+03,1.7011601397315029e-02,1.3413125157535410e-01,1.1711965017803908e-01
7.5671342685370737e+03,1.3871940812880623e-02,1.3308757319426456e-01,1.1921563238138394e-01
7.5991983967935867e+03,1.5069640891835726e-02,1.3348570975897209e-01,1.1841606886713636e-01
7.6312625250500996e+03,1.4177966164719460e-02,1.3318930140188120e-01,1.1901133523716174e-01
7.6633266533066126e+03,1.5237809052343149e-02,1.3354161181232746e-01,1.1830380275998431e-01
7.6953907815631255e+03,1.7156816501600863e-02,1.3417952362925095e-01,1.1702270712765009e-01
7.7274549098196385e+03,1.5711402608888925e-02,1.3369904263744284e-01,1.1798764002855391e-01
7.7595190380761514e+03,1.5578704597602938e-02,1.3365493148533944e-01,1.1807622688773650e-01
7.7915831663326644e+03,1.5465494384589981e-02,1.3361729842002462e-01,1.1815180403543464e-01
7.8236472945891774e+03,1.4981881957345705e-02,1.3345653714613290e-01,1.1847465518878719e-01
7.8557114228456903e+03,1.4721717096401771e-02,1.3337005377202782e-01,1.1864833667562605e-01
7.8877755511022033e+03,1.6099693487265226e-02,1.3382811735250710e-01,1.1772842386524188e-01
7.9198396793587162e+03,1.5474832946161449e-02,1.3362040272208520e-01,1.1814556977592375e-01
7.9519038076152292e+03,1.5627717793625776e-02,1.3367122433346748e-01,1.1804350653984171e-01
7.9839679358717431e+03,1.4366483823886639e-02,1.3325196798638381e-01,1.1888548416249717e-01
8.0160320641282560e+03,1.5338408367334050e-02,1.3357505279340884e-01,1.1823664442607479e-01
8.0480961923847690e+03,1.4693805305726684e-02,1.3336077540205030e-01,1.1866697009632361e-01
8.0801603206412819e+03,1.5845663213777075e-02,1.3374367322313291e-01,1.1789801000935583e-01
8.1122244488977949e+03,1.5437637401926260e-02,1.3360803826919340e-01,1.1817040086726714e-01
8.1442885771543079e+03,1.5353645851996042e-02,1.3358011800122202e-01,1.1822647214922598e-01
8.1763527054108208e+03,1.4757929354269686e-02,1.3338209136324150e-01,1.1862416200897181e-01
8.2084168336673338e+03,1.3587220172403602e-02,1.3299292704729143e-01,1.1940570687488783e-01
8.2404809619238476e+03,1.5135712306471566e-02,1.3350767305889086e-01,1.1837196075241929e-01
8.2725450901803597e+03,1.4177800321935247e-02,1.3318924627282244e-01,1.1901144595088720e-01
8.3046092184368736e+03,1.6281903325121277e-02,1.3388868710629903e-01,1.1760678378117775e-01
8.3366733466933856e+03,1.5456763987670250e-02,1.3361439628258584e-01,1.1815763229491559e-01
8.3687374749498995e+03,1.4699763017385306e-02,1.3336275585015586e-01,1.1866299283277056e-01
8.4008016032064115e+03,1.3866441678515043e-02,1.3308574518531155e-01,1.1921930350679651e-01
8.4328657314629254e+03,1.6670355296277320e-02,1.3401781537143578e-01,1.1734746007515846e-01
8.4649298597194374e+03,1.5672180302153144e-02,1.3368600445305931e-01,1.1801382415090617e-01
8.4969939879759513e+03,1.4644593407281747e-02,1.3334441650174206e-01,1.1869982309446031e-01
8.5290581162324634e+03,1.5426847431156798e-02,1.3360445149319497e-01,1.1817760406203817e-01
8.5611222444889772e+03,1.4939138706824368e-02,1.3344232853812835e-01,1.1850318983130398e-01
8.5931863727454893e+03,1.3659993797465242e-02,1.3301711827979734e-01,1.1935712448233210e-01
8.6252505010020031e+03,1.7104377807653462e-02,1.3416209208538182e-01,1.1705771427772836e-01
8.6573146292585152e+03,1.5654455106603654e-02,1.3368011228640642e-01,1.1802565717980276e-01
8.6893787575150291e+03,1.5620603489224782e-02,1.3366885941359630e-01,1.1804825592437151e-01
8.7214428857715429e+03,1.4742197973760376e-02,1.3337686197576332e-01,1.1863466400200294e-01
8.7535070140280550e+03,1.5658514603227744e-02,1.3368146173445980e-01,1.1802294713123206e-01
8.7855711422845689e+03,1.3857116846354406e-02,1.3308264544714746e-01,1.1922552860079305e-01
8.8176352705410809e+03,1.6155214279771193e-02,1.3384657344012385e-01,1.1769135916035266e-01
8.8496993987975948e+03,1.4995606716655091e-02,1.3346109949743956e-01,1.1846549278078447e-01
8.8817635270541068e+03,1.5653806311434662e-02,1.3367989661548438e-01,1.1802609030404972e-01
8.9138276553106207e+03,1.4963327971323465e-02,1.3345036947495281e-01,1.1848704150362935e-01
8.9458917835671327e+03,1.5581885269630003e-02,1.3365598879664256e-01,1.1807410352701256e-01
8.9779559118236466e+03,1.3258356254239753e-02,1.3288360689866938e-01,1.1962525064442962e-01
9.0100200400801587e+03,1.6346463927766341e-02,1.3391014818574820e-01,1.1756368425798186e-01
9.0420841683366725e+03,1.4730685829286549e-02,1.3337303513652821e-01,1.1864234930724166e-01
9.0741482965931846e+03,1.4863625907998529e-02,1.3341722675609999e-01,1.1855360084810146e-01
9.1062124248496984e+03,1.5519364342385641e-02,1.3363520574115714e-01,1.1811584139877150e-01
9.1382765531062123e+03,1.7449817954217239e-02,1.3427692246377140e-01,1.1682710450955416e-01
9.1703406813627244e+03,1.4570781723493381e-02,1.3331988020026150e-01,1.1874909847676812e-01
9.2024048096192382e+03,1.4369715552197668e-02,1.3325304226969334e-01,1.1888332671749567e-01
9.2344689378757503e+03,1.4495680717694442e-02,1.3329491530547655e-01,1.1879923458778210e-01
9.2665330661322641e+03,1.5618684102731067e-02,1.3366822137577714e-01,1.1804953727304607e-01
