t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
9.1000000000000000e+01,1.5465292200100560e-158,8.5385990317943899e-206,1.0569664393668530e-02
9.2000000000000000e+01,3.0942884713856825e-156,2.4531303112663161e-204,1.2796345558227633e-02
9.3000000000000000e+01,5.7838654614173029e-154,6.0604194381879902e-203,1.3967591350674347e-02
9.4000000000000000e+01,1.0113093067951236e-151,1.2628163046733009e-201,1.3075948856611347e-02
9.5000000000000000e+01,1.6561287494538034e-149,2.1540573585841069e-200,1.4686819527970565e-02
9.6000000000000000e+01,2.5431216752109516e-147,2.8731563978907639e-199,1.4307009672441718e-02
9.7000000000000000e+01,3.6661089169434051e-145,2.8626433930831547e-198,1.2170342816600699e-02
9.8000000000000000e+01,4.9670120615629238e-143,2.6813057922227796e-197,1.3260416956019355e-02
9.9000000000000000e+01,6.3315200776918308e-141,6.1921659000638461e-196,1.1641612035657554e-02
1.0000000000000000e+02,7.6015197614644730e-139,2.0833855817901466e-194,9.2536345418966232e-03
1.0100000000000000e+02,8.6042951554550356e-137,5.1305637131553511e-193,1.1671982294576902e-02
1.0200000000000000e+02,9.1914054963653852e-135,8.7989402623313590e-192,1.1940878335039795e-02
1.0300000000000000e+02,9.2750596503051429e-133,1.0649341330064585e-190,1.0672900181870303e-02
1.0400000000000000e+02,8.8495996898731467e-131,9.8278909168864881e-190,1.3107433999566756e-02
1.0500000000000000e+02,7.9908812359520832e-129,1.1457946880075588e-188,1.3567615814259183e-02
1.0600000000000000e+02,6.8345566556005673e-127,2.5006029066104496e-187,1.2320348354109200e-02
1.0700000000000000e+02,5.5416619799229568e-125,5.2412568495223650e-186,1.4605294757779084e-02
1.0800000000000000e+02,4.2632659571905443e-123,7.8304747718576220e-185,1.4440255751437392e-02
1.0900000000000000e+02,3.1143392746821485e-121,8.3681307382068691e-184,1.2422329211792156e-02
1.1000000000000000e+02,2.1619665681457698e-119,7.7666624512451685e-183,1.4811977900601457e-02
1.1100000000000000e+02,1.4273170210026991e-117,1.0125389198791509e-181,1.4556692235394453e-02
1.1200000000000000e+02,8.9680897825869112e-116,1.7606444310092930e-180,1.2281890924043824e-02
1.1300000000000000e+02,5.3665868347305168e-114,2.5808595430553743e-179,1.4114002370181023e-02
1.1400000000000000e+02,3.0606744450406607e-112,2.8242398396617830e-178,1.3541660849339087e-02
1.1500000000000000e+02,1.6647560231074403e-110,2.6119965980949183e-177,1.1697064832063422e-02
1.1600000000000000e+02,8.6414017449233238e-109,2.8441139110129660e-176,1.2945824023354726e-02
1.1700000000000000e+02,4.2834708678878154e-107,3.9199760730056481e-175,1.2077783587308200e-02
1.1800000000000000e+02,2.0288773962590874e-105,5.0024835049137832e-174,1.0599082770151709e-02
1.1900000000000000e+02,9.1881317425660825e-104,5.1407553014763644e-173,1.1679328741782197e-02
1.2000000000000000e+02,3.9807605565882565e-102,4.6752490371462966e-172,1.1798310541748005e-02
1.2100000000000000e+02,1.6509028277758526e-100,4.7227124477647342e-171,1.1246802176272212e-02
1.2200000000000000e+02,6.5574675988557406e-99,5.4990136889434381e-170,1.2146369248565967e-02
1.2300000000000000e+02,2.4960090165945848e-97,6.0527593324140936e-169,1.2804764560430256e-02
1.2400000000000000e+02,9.1092257334141595e-96,5.7131213466355189e-168,1.1930112591170066e-02
1.2500000000000000e+02,3.1890846383770072e-94,4.9848696985168006e-167,1.2000502936226693e-02
1.2600000000000000e+02,1.0715637422062684e-92,4.6974672915133137e-166,1.2902921008214234e-02
1.2700000000000000e+02,3.4574015185183866e-91,4.8438342987113738e-165,1.1159378173215965e-02
1.2800000000000000e+02,1.0716881828656677e-89,4.7376724794303811e-164,1.1091895147948335e-02
1.2900000000000000e+02,3.1928280217921583e-88,4.0724076768841633e-163,1.3037963418318168e-02
1.3000000000000000e+02,9.1467655329864472e-87,3.3103306738225839e-162,1.1160853666410257e-02
1.3100000000000000e+02,2.5207858727100836e-85,2.9441067131032557e-161,1.2283499590141911e-02
1.3200000000000000e+02,6.6860147724823726e-84,2.8093350313703393e-160,1.5781490456668726e-02
1.3300000000000000e+02,1.7074323709955115e-82,2.4500153399046758e-159,1.4353896314236168e-02
1.3400000000000000e+02,4.1999268421938919e-81,1.8629619425637431e-158,1.5429522888768926e-02
1.3500000000000000e+02,9.9548502333534801e-80,1.4279561884198458e-157,1.7192690930720542e-02
1.3600000000000000e+02,2.2745261136510118e-78,1.2594280105507482e-156,1.5022372616581608e-02
1.3700000000000000e+02,5.0115778633863652e-77,1.1011570539434297e-155,1.5671843901259769e-02
1.3800000000000000e+02,1.0652350370363640e-75,8.1563103070501594e-155,1.5324924522803204e-02
1.3900000000000000e+02,2.1850422874360472e-74,5.5725855746801927e-154,1.2180293621244285e-02
1.4000000000000000e+02,4.3268299769977563e-73,4.4228164258658335e-153,1.2211780007920586e-02
1.4100000000000000e+02,8.2741564943135096e-72,3.7985092540619406e-152,1.2038265495756151e-02
1.4200000000000000e+02,1.5285026192580635e-70,2.7730437069195314e-151,1.0260563951999003e-02
1.4300000000000000e+02,2.7285897001834901e-69,1.7416391896110551e-150,1.0117461621682840e-02
1.4400000000000000e+02,4.7084439150627339e-68,1.2404479679515128e-149,1.0362403064380582e-02
1.4500000000000000e+02,7.8562951915838592e-67,1.0297848241431149e-148,1.0014697005563759e-02
1.4600000000000000e+02,1.2679151337072177e-65,7.3934416934191947e-148,1.0189122442506009e-02
1.4700000000000000e+02,1.9798035881619607e-64,4.3457759191201681e-147,1.0837552372283515e-02
1.4800000000000000e+02,2.9918369457731544e-63,2.8080656690884962e-146,1.0773855471378421e-02
1.4900000000000000e+02,4.3768222073321322e-62,2.2355154931039216e-145,1.0633736428500644e-02
1.5000000000000000e+02,6.2001661901947528e-61,1.5649348332673773e-144,1.1032972107221657e-02
1.5100000000000000e+02,8.5071978761003179e-60,8.6675611855787833e-144,1.0583040365144434e-02
1.5200000000000000e+02,1.1308916469398443e-58,5.1701679395447352e-143,1.0130183535676802e-02
1.5300000000000000e+02,1.4568552632032476e-57,3.9441998771970504e-142,1.0505574731561223e-02
1.5400000000000000e+02,1.8191970438386574e-56,2.6593798570672469e-141,1.0033440126288274e-02
1.5500000000000000e+02,2.2024969926840945e-55,1.3882000424187085e-140,9.4973065310635946e-03
1.5600000000000000e+02,2.5859784247044145e-54,7.8050533204571827e-140,1.0478946647804891e-02
1.5700000000000000e+02,2.9451518154948347e-53,5.7224384660413930e-139,1.0967052457345906e-02
1.5800000000000000e+02,3.2543215764118544e-52,3.6624169536543856e-138,1.0694953373728113e-02
1.5900000000000000e+02,3.4896158343910132e-51,1.7986001474877457e-137,1.2483999074208276e-02
1.6000000000000000e+02,3.6320448645408080e-50,9.7528555141134797e-137,1.3842577762683503e-02
1.6100000000000000e+02,3.6700418444678974e-49,6.8869686246995206e-136,1.3394583821605801e-02
1.6200000000000000e+02,3.6010126212707049e-48,4.1207996860279769e-135,1.5479148320453604e-02
1.6300000000000000e+02,3.4316069199156470e-47,1.9040524151944111e-134,1.6571425603390370e-02
1.6400000000000000e+02,3.1766769782578673e-46,1.0186514023141287e-133,1.5280745362171604e-02
1.6500000000000000e+02,2.8571467644874526e-45,6.9177863973330249e-133,1.7131665316456803e-02
1.6600000000000000e+02,2.4972119191722267e-44,3.8193334255873019e-132,1.6921051362187564e-02
1.6700000000000000e+02,2.1213830085547055e-43,1.6668255380456594e-131,1.4734701061281403e-02
1.6800000000000000e+02,1.7518594163434896e-42,8.9665161573135142e-131,1.5928730056494634e-02
1.6900000000000000e+02,1.4065972369030428e-41,5.8296206132074964e-130,1.4029586071207285e-02
1.7000000000000000e+02,1.0982539077014727e-40,2.9436479092404076e-129,1.1903984456447962e-02
1.7100000000000000e+02,8.3400515917378443e-40,1.2211477069383389e-128,1.3297933847616145e-02
1.7200000000000000e+02,6.1607928216287260e-39,6.6919672045429729e-128,1.1906253201978918e-02
1.7300000000000000e+02,4.4276546503349082e-38,4.1482984578381248e-127,1.1636848584591028e-02
1.7400000000000000e+02,3.0963216230663130e-37,1.9057743173974207e-126,1.2879048833281771e-02
1.7500000000000000e+02,2.1072599773604948e-36,7.5555508143205999e-126,1.1994370121947158e-02
1.7600000000000000e+02,1.3958961711656263e-35,4.2607250365486720e-125,1.2426632084181695e-02
1.7700000000000000e+02,9.0014615202154980e-35,2.5150346118731421e-124,1.1935031892705330e-02
1.7800000000000000e+02,5.6514339988635488e-34,1.0444515846889594e-123,1.0508664049777180e-02
1.7900000000000000e+02,3.4550132430728342e-33,3.9697677649612927e-123,1.0485658517107315e-02
1.8000000000000000e+02,2.0570502157246909e-32,2.3373235826618382e-122,9.7169861570489402e-03
1.8100000000000000e+02,1.1928942824349599e-31,1.3111925953450693e-121,9.6271407648641401e-03
1.8200000000000000e+02,6.7387264660646650e-31,4.8509822086776553e-121,9.8136273086608314e-03
1.8300000000000000e+02,3.7087595233780554e-30,1.7827764029424322e-120,9.8053281292677860e-03
1.8400000000000000e+02,1.9888865129254862e-29,1.1208307383481638e-119,1.1176379946582228e-02
1.8500000000000000e+02,1.0393857426979496e-28,5.9032273818986250e-119,1.1217096089895431e-02
1.8600000000000000e+02,5.2939935927941507e-28,1.8967263776830423e-118,1.1380210249957974e-02
1.8700000000000000e+02,2.6283554132179775e-27,6.9614362395158723e-118,1.3458283960495070e-02
1.8800000000000000e+02,1.2721334303312827e-26,4.7604888658698847e-117,1.3335884954717370e-02
